"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1963","Stratum_1"," [kg*km2/km2]",64089.9391882496,17855.8831560761,0.278606648441786
"1","1964","Stratum_1"," [kg*km2/km2]",66900.0968598656,18138.7486384887,0.271131874091058
"1","1965","Stratum_1"," [kg*km2/km2]",61396.7200501322,18401.7353685043,0.299718541209996
"1","1966","Stratum_1"," [kg*km2/km2]",61849.5802167935,18684.8883451429,0.302102104487195
"1","1967","Stratum_1"," [kg*km2/km2]",78718.8270991679,19485.6666073032,0.247535022120636
"1","1968","Stratum_1"," [kg*km2/km2]",73550.6182878842,19259.4646367675,0.261853198315532
"1","1969","Stratum_1"," [kg*km2/km2]",65435.4848991131,18327.254312041,0.280081279145367
"1","1970","Stratum_1"," [kg*km2/km2]",59757.6917483261,18249.8632978617,0.305397728123809
"1","1971","Stratum_1"," [kg*km2/km2]",62817.4033858154,18557.5439085114,0.295420423453892
"1","1972","Stratum_1"," [kg*km2/km2]",59849.8384281997,17792.9187705336,0.297292678440216
"1","1973","Stratum_1"," [kg*km2/km2]",71987.5783391702,18297.8581326581,0.254180770555269
"1","1974","Stratum_1"," [kg*km2/km2]",68204.1550763917,17479.0202099164,0.256275005391373
"1","1975","Stratum_1"," [kg*km2/km2]",73265.4209824098,17691.0665423797,0.241465432193819
"1","1976","Stratum_1"," [kg*km2/km2]",62097.0645743128,16543.8627441483,0.266419400942049
"1","1977","Stratum_1"," [kg*km2/km2]",69895.4464556427,17558.0331354251,0.251204249000222
"1","1978","Stratum_1"," [kg*km2/km2]",58888.5422594786,16398.5489434058,0.278467564558645
"1","1979","Stratum_1"," [kg*km2/km2]",63529.5997182022,16971.8638754851,0.267148918783796
"1","1980","Stratum_1"," [kg*km2/km2]",70059.7395031955,18023.0439892367,0.257252512170911
"1","1981","Stratum_1"," [kg*km2/km2]",63872.966816453,17497.414871638,0.273940850781505
"1","1982","Stratum_1"," [kg*km2/km2]",55324.4076604471,16604.713692274,0.30013360096298
"1","1983","Stratum_1"," [kg*km2/km2]",62339.3895403635,16601.9654972135,0.266315817649514
"1","1984","Stratum_1"," [kg*km2/km2]",60112.3489795211,17014.0128693414,0.283036899375496
"1","1985","Stratum_1"," [kg*km2/km2]",56942.2205321824,17042.7199430235,0.29929847806675
"1","1986","Stratum_1"," [kg*km2/km2]",57452.0097725559,17047.1392577156,0.296719633050305
"1","1987","Stratum_1"," [kg*km2/km2]",59510.7285491206,17374.3213808128,0.291952758845354
"1","1988","Stratum_1"," [kg*km2/km2]",57499.9442291229,16731.6813214764,0.290986044348232
"1","1989","Stratum_1"," [kg*km2/km2]",53718.0813819433,16942.2012754061,0.315391034816463
"1","1990","Stratum_1"," [kg*km2/km2]",56911.9939903524,17293.0133862283,0.303855341795963
"1","1991","Stratum_1"," [kg*km2/km2]",58510.1862584276,17402.8546797628,0.297432905150873
"1","1992","Stratum_1"," [kg*km2/km2]",62358.6367105226,17462.7901416979,0.280038035833957
"1","1993","Stratum_1"," [kg*km2/km2]",56665.6038890816,16920.2767879481,0.298598719976022
"1","1994","Stratum_1"," [kg*km2/km2]",55929.0810143282,17123.3612294242,0.306162034470714
"1","1995","Stratum_1"," [kg*km2/km2]",58181.0030543985,17136.0258438315,0.294529570550881
"1","1996","Stratum_1"," [kg*km2/km2]",63948.3802549824,17790.3281722872,0.278198260868398
"1","1997","Stratum_1"," [kg*km2/km2]",64766.104942944,16767.9910089088,0.258900717029079
"1","1998","Stratum_1"," [kg*km2/km2]",74282.4207011068,17239.1635494576,0.232075952651351
"1","1999","Stratum_1"," [kg*km2/km2]",60593.8341622244,16364.3589226875,0.270066404427818
"1","2000","Stratum_1"," [kg*km2/km2]",70157.4502878982,17082.6689097761,0.243490446697756
"1","2001","Stratum_1"," [kg*km2/km2]",71329.5538439585,17793.839446163,0.249459564615935
"1","2002","Stratum_1"," [kg*km2/km2]",70763.101357186,17248.9287934349,0.243755975396959
"1","2003","Stratum_1"," [kg*km2/km2]",66934.7263510836,17462.7042577803,0.260891546283248
"1","2004","Stratum_1"," [kg*km2/km2]",72202.4906148828,17440.3860382045,0.241548260865803
"1","2005","Stratum_1"," [kg*km2/km2]",78984.9560502632,18276.782483762,0.231395741641375
"1","2006","Stratum_1"," [kg*km2/km2]",70731.7175619987,17631.7224642348,0.24927604011284
"1","2007","Stratum_1"," [kg*km2/km2]",80212.6673908939,18381.0830510932,0.229154367370906
"1","2008","Stratum_1"," [kg*km2/km2]",65990.0007994637,17221.8528599695,0.260976703308506
"1","2009","Stratum_1"," [kg*km2/km2]",84303.961834093,17988.1936385685,0.213373052075164
"1","2010","Stratum_1"," [kg*km2/km2]",70976.1272823275,17597.3682365673,0.247933620928187
"1","2011","Stratum_1"," [kg*km2/km2]",85891.4198846725,18549.0105226471,0.215958829735882
"1","2012","Stratum_1"," [kg*km2/km2]",78151.8625544249,17347.5557015892,0.221972389839184
"1","2013","Stratum_1"," [kg*km2/km2]",82304.819284082,18212.6986972792,0.221283502663637
"1","2014","Stratum_1"," [kg*km2/km2]",81768.1322325899,18196.1407725578,0.222533403610088
"1","2015","Stratum_1"," [kg*km2/km2]",84614.7099143866,18574.8920679973,0.219523202133428
"1","2016","Stratum_1"," [kg*km2/km2]",75507.040061619,17440.1229750985,0.230973468975426
